covid_business_standard,covid_business_today,category_list
1,1,10
1,1,10
5,8,30
1,1,10
1,1,10
1,1,10
1,2,10
1,2,10
1,1,10
1,1,10
1,1,10
1,1,10
2,1,10
2,3,10
2,2,10
6,9,30
2,2,10
1,2,10
1,1,10
3,4,20
1,1,10
1,1,10
1,2,10
1,2,10
1,1,10
1,1,10
6,8,30
1,1,10
1,1,10
1,1,10
1,2,10
1,1,10
4,8,20
1,1,10
1,1,10
1,1,10
3,4,20
2,2,10
2,2,10
2,1,10
1,2,10
4,7,20
1,1,10
1,2,10
4,5,20
1,2,10
1,1,10
1,1,10
1,1,10
4,6,20
3,3,20
1,1,10
1,1,10
1,2,10
1,1,10
1,1,10
2,3,10
2,1,10
1,2,10
1,2,10
1,1,10
1,2,10
1,1,10
1,1,10
2,2,10
4,1,10
1,1,10
1,1,10
1,1,10
1,2,10
1,1,10
1,1,10
2,2,10
1,1,10
1,1,10
3,2,10
1,2,10
1,1,10
2,2,10
1,1,10
1,1,10
1,1,10
1,1,10
1,1,10
6,2,10
4,6,20
1,1,10
1,1,10
3,2,10
1,2,10
1,1,10
2,2,10
3,3,20
1,1,10
2,2,10
3,5,20
1,1,10
13,11,60
8,8,40
1,1,10
2,2,10
9,7,40
5,2,10
1,2,10
1,2,10
2,2,10
