covid_livemint1,covid_the_times_of_india,category_list
2,3,10
1,2,10
1,1,10
1,1,10
1,1,10
1,1,10
1,1,10
1,2,10
1,1,10
4,4,20
4,4,20
3,3,20
1,1,10
1,1,10
1,1,10
1,1,10
2,2,10
1,1,10
1,1,10
1,1,10
1,2,10
1,2,10
2,6,10
1,1,10
1,1,10
1,1,10
2,3,10
1,1,10
1,1,10
3,5,20
1,1,10
1,1,10
1,1,10
1,1,10
1,1,10
1,1,10
1,1,10
1,2,10
2,1,10
1,1,10
1,1,10
1,1,10
6,10,30
3,2,10
1,1,10
3,2,10
1,1,10
4,2,10
1,1,10
3,2,10
2,1,10
1,1,10
1,1,10
2,2,10
1,1,10
5,6,30
1,1,10
1,2,10
1,1,10
2,4,10
1,1,10
1,1,10
1,1,10
1,4,10
1,1,10
1,1,10
2,1,10
1,1,10
1,1,10
1,1,10
1,1,10
3,5,20
1,2,10
1,2,10
2,2,10
1,1,10
1,2,10
1,1,10
1,1,10
1,1,10
1,1,10
2,1,10
2,2,10
1,1,10
1,1,10
9,7,40
1,1,10
1,1,10
1,1,10
